Date ,Hour,Incoming Volume ,Processing Capacity ,Backlog , Processed Volume ,Remaining Backlog
2024-04-01,0,20000,7000,0,7000,13000
2024-04-01,1,18000,7000,13000,7000,24000
2024-04-01,2,22000,7000,24000,7000,39000
2024-04-01,3,25000,7000,39000,7000,57000
2024-04-01,4,21000,7000,57000,7000,71000
2024-04-01,5,23000,7000,71000,7000,87000
2024-04-01,6,30000,7000,87000,7000,110000
2024-04-01,7,28000,7000,110000,7000,131000
2024-04-01,8,26000,7000,131000,7000,150000
2024-04-01,9,35000,7000,150000,7000,178000
2024-04-01,10,42000,7000,178000,7000,213000
2024-04-01,11,50000,7000,213000,7000,256000
2024-04-01,12,60000,7000,256000,7000,309000
2024-04-01,13,70000,7000,309000,7000,372000
2024-04-01,14,90000,7000,372000,7000,455000
2024-04-01,15,100000,7000,455000,7000,548000
2024-04-01,16,85000,7000,548000,7000,626000
2024-04-01,17,70000,7000,626000,7000,689000
2024-04-01,18,50000,7000,689000,7000,732000
2024-04-01,19,30000,7000,732000,7000,755000
2024-04-01,20,25000,7000,755000,7000,773000
2024-04-01,21,22000,7000,773000,7000,788000
2024-04-01,22,20000,7000,788000,7000,801000
2024-04-01,23,18000,7000,801000,7000,812000
